,RA,DEC,CL2,TYPE,,
458,141.4,69.5,4,Sy1,,141.4|69.5
459,141.5,12.7,4,Sy1.2,,141.5|12.7
460,141.8,23,4,Sy1,,141.8|23
461,142,-69.7,0,SRC/X-RAY,,142|-69.7
462,142.4,62.5,5,Sy2,,142.4|62.5
463,142.8,-51.1,1,Newsource,,142.8|-51.1
464,143.7,-21.9,5,Sy2,,143.7|-21.9
465,143.9,26.3,4,Sy1,,143.9|26.3
466,144,61.4,4,Sy1.5/LINER/LIRG,,144|61.4
467,144,-65.8,5,Sy1.8,,144|-65.8
468,145,-32.4,0,SRC/X-RAY,,145|-32.4
469,145.5,23.7,4,Sy1,,145.5|23.7
470,146.4,-14.3,5,Sy2,,146.4|-14.3
471,146.9,-30.9,5,Sy2,,146.9|-30.9
472,146.9,7.4,4,Sy1BLRG,,146.9|7.4
473,147.4,73.2,6,NLRG,,147.4|73.2
474,148,-6.8,4,Sy1Sy2,,148|-6.8
475,148.1,-62.5,8,Sy1.9,,148.1|-62.5
476,148.9,69.1,5,Sy1.8LINER,,148.9|69.1
477,149,69.7,2,GalaxySbrstHII,,149|69.7
478,149.5,-42.1,0,SRC/X-RAY,,149.5|-42.1
479,149.9,-22.8,5,Sy2,,149.9|-22.8
480,150,13,4,Sy1,,150|13
481,149.9,-31.2,4,Sy1,,149.9|-31.2
482,150.5,28.8,4,NGalaxy;Sy1Sy2,,150.5|28.8
483,150.5,55.7,5,Sy2,,150.5|55.7
484,150.8,-37.4,4,Sy1,,150.8|-37.4
485,151.5,-23.1,4,Sy1.5,,151.5|-23.1
486,151.8,65.6,6,Quasar/FSRS,,151.8|65.6
487,152.2,-9.9,5,Sy1.8,,152.2|-9.9
488,152.5,-42.8,5,Sy2,,152.5|-42.8
489,152.4,-58.3,13,HMXB,,152.4|-58.3
490,152.8,-57.8,12,Symb/WD,,152.8|-57.8
491,153.3,-36,5,Sy2,,153.3|-36
492,154.3,-4.1,2,Galaxy,,154.3|-4.1
493,155.3,-2.6,15,RadioSource,,155.3|-2.6
494,155,-2.6,2,Galaxydoublenucleus,,155|-2.6
495,155.4,-3.5,4,Sy1,,155.4|-3.5
496,155.9,19.9,4,Sy1.5,,155.9|19.9
497,157.4,-38.3,5,Sy2,,157.4|-38.3
498,157.8,-42.1,2,Galaxy,,157.8|-42.1
499,157.8,50.9,7,BLLac,,157.8|50.9
500,158,-14.3,4,Sy1,,158|-14.3
501,158,-34.9,5,Sy2,,158|-34.9
502,158.2,-28.6,2,Galaxy,,158.2|-28.6
